marshall space flight center :368
d launch vehicle from :5
d i n g :5
d booster from etr :5
d and e regions :5
crossreferenced in the index :5
crossed the orbits of :5
crew members of the :5
crashed onto lunar surface :5
court in washington dc :5
could serve as a :5
could be transferred to :5
could be modified to :5
could be made with :5
could be made in :5
could be launched from :5
could be caused by :5
cotton usaf and nasa :5
costs would be shared :5
costplusawardfee contract to provide :5
cost of the space :5
cosmonauts vladimir a shatalov :5
cosmonaut yuri a gagarin :5
correlated with data from :5
corps of engineers announced :5
corp had been awarded :5
corp for negotiations leading :5
corp and general electric :5
control and life support :5
control and handling qualities :5
contributions to the advancement :5
contracts would be awarded :5
contract would run through :5
contract would be awarded :5
contract to rockwell international :5
contract to lockheed aircraft :5
contract to develop a :5
contract to design fabricate :5
contract to design develop :5
contract to be managed :5
contract had been awarded :5
construction of a new :5
congressional committee on atomic :5
congress history of aeronautics :5
confirmed the nomination of :5
conference was held in :5
conference in washington dc :5
conducted in cooperation with :5
con struction of the :5
comsat general corp and :5
completion of rocket tests :5
compilation than in listings :5
communications were the responsibility :5
communications satellite was launched :5
communications satellite system and :5
communications satellite from plesetsk :5
committee on the judiciary :5
committee on government operationsâ€™ :5
commented on usussr space :5
commented on resignation of :5
commented on president nixonâ€™s :5
commented on apollo 16 :5
commander for manned systems :5
come to nasa in :5
combination entered parking orbit :5
com mand and service :5
colleges and universities in :5
col joseph cotton usaf :5
col john h jr :5
co lockheed aircraft corp :5
co general electric co :5
co for negotiation of :5
co for development of :5
co announced it had :5
co and pratt whitney :5
co and philco corp :5
closeup photographs of the :5
close to the calculated :5
close to that of :5
close to planned parameters :5
close air support aircraft :5
clearinghouse for federal scientific :5
civil aviation research and :5
churchill research range and :5
chronology of science technology :5
christian science monitor editorial :5
chief test pilot for :5
chief of staff gen :5
chief of science policy :5
chart and information center :5
charged particles in the :5
chairman of subcommittee on :5
chairman of joint chiefs :5
chairman of board of :5
chairman and vice chairman :5
ceremony at nasa hq :5
cents per share up :5
cents per share in :5
center had issued a :5
center director dr robert :5
center 19401965 nasa sp4302 :5
cause of malfunction was :5
cause of explosion was :5
catch up with the :5
case western reserve univ :5
carrying univ of michigan :5
carrier rocket tests in :5
carried univ of illinois :5
carried to moon on :5
carried gsfcinstrumented grenade payload :5
carried dudley observatory payload :5
carried 19 grenades to :5
carnegie institution of washington :5
carbon dioxide in the :5
capt william j knight :5
capt joseph h engle :5
cape kennedy and merritt :5
cape canaveral to cape :5
came to nasa from :5
call attention to the :5
c kraft jr director :5
by unanimous vote of :5
by un general assembly :5
by titan iiibagena d :5
by the year 2000 :5
by the washington post :5
by the president to :5
by the office of :5
by the national science :5
by the national oceanic :5
by the earth and :5
by the department of :5
by rep george p :5
by president johnson to :5
by nasa test pilots :5
by nasa pilot joseph :5
by nasa lewis research :5
by nasa in the :5
by nasa from kiruna :5
by nasa for the :5
by nasa deputy administrator :5
by nasa and soviet :5
by nasa and dod :5
by maj peter c :5
by kennedy space center :5
by joseph a walker :5
by house committee on :5
by dr rocco a :5
by arc under ossa :5
by apollo 12 crew :5
but we can not :5
but scientific objectives were :5
but it is a :5
bureau of standards and :5
bulgaria hungary east germany :5
built for usaf by :5
built by general electric :5
budget request to congress :5
budget for fiscal year :5
brought the total value :5
british aviatrix sheila scott :5
british aircraft corp and :5
briefing at johnson space :5
both sides of the :5
boris petrov chairman of :5
booster from wtr with :5
booster entered elliptical transfer :5
boeing co lockheed aircraft :5
board of the national :5
board of governors had :5
board luna 17 nov :5
bird i communications satellite :5
billion would go for :5
billion in fy 1973 :5
billion had been spent :5
bill that included a :5
bill for fy 1976 :5
bill for f y :5
between noon and midnight :5
between mars and jupiter :5
between 2259 mi 3595 :5
believed to be the :5
beings into space whether :5
being developed for the :5
being developed by msfc :5
being conducted by nasa :5
before returning to earth :5
before house com mittee :5
been used for vehicle :5
been postponed because of :5
been placed in orbit :5
been made available to :5
been found to be :5
been chief of the :5
been appointed deputy associate :5
become part of the :5
became deputy director of :5
became assistant administrator for :5
be well to call :5
be used to track :5
be used to investigate :5
be used in space :5
be used in future :5
be used in a :5
be used for research :5
be powered by a :5
be managed by jpl :5
be launched on the :5
be launched in early :5
be launched in 1978 :5
be launched in 1972 :5
be launched from etr :5
be launched from a :5
be launched by saturn :5
be given to the :5
be compared with those :5
be carried out in :5
be carried into orbit :5
be carried in the :5
be based on the :5
be able to survive :5
baykonur cosmo drome into :5
basic and applied research :5
based on results of :5
barium clouds were released :5
bank experi mental station :5
ballistic reentry system abres :5
baikonur into orbit with :5
back from the moon :5
b52 aircraft at 12 :5
b â€œchronology of major :5
b johnson space center :5
awards ceremony was held :5
award of a 1 :5
aviation administration announced award :5
authorization bill for fy :5
augmented target docking adapter :5
attention to the terms :5
attended by dr james :5
attempt was made to :5
atmospheric administra tion and :5
atlascentaur launch vehicle was :5
atlantic missile range and :5
at woods hole mass :5
at white house press :5
at white house ceremony :5
at vandenberg air force :5
at total cost of :5
at the speed of :5
at the michoud assembly :5
at the expense of :5
at the european space :5
at the cost of :5
at the beginning of :5
at soviet academy of :5
at paris air show :5
at north american aviation :5
at nasa hq to :5
at nasa hq press :5
at mississippi test facility :5
at meeting of american :5
at mcdonnell douglas astronautics :5
at massachusetts institute of :5
at launch complex 39 :5
at johns hopkins univ :5
at grumman aircraft engineering :5
at end of 1968 :5
at ellington afb tex :5
at edwards afb after :5
at argonne national laboratory :5
at an estimated cost :5
at a washington dc :5
at a maximum speed :5
at 932 am edt :5
astronauts schirra and stafford :5
astronautical events of 1 :5
astronaut stuart a roosa :5
astronaut richard f gordon :5
astronaut applicants would report :5
astro naut john h :5
associate deputy administrator willis :5
associate administrator for the :5
associate administrator for external :5
associate admin istrator for :5
assn in washington dc :5
assistant to the apollo :5
assistant to director of :5
assistant secretary of commerce :5
assistant director of procurement :5
assistant director for research :5
assistant associate administrator for :5
assistant administrator for planning :5
assistant administrator for management :5
assistant administrator for equal :5
assistant adminis trator for :5
asked fcc for authority :5
as well as on :5
as well as from :5
as the space program :5
as senior vice president :5
as secretary of defense :5
as reported out by :5
as opposed to the :5
