total weight :2627
p clements :6
oxygen pressure :6
owen garriott :6
overall systems :6
outside earths :6
outer reaches :6
outer edge :6
otoole wash :6
oso spacecraft :6
oso orbiting :6
originally believed :6
original request :6
original flight :6
original estimate :6
orientation maneuver :6
organization awarded :6
organic materials :6
ordered favorably :6
orbits spacecraft :6
orbiting vehicles :6
orbiting stations :6
orbiting nimbus :6
orbiting message :6
orbiter flight :6
orbiter cargo :6
orbiter atlantis :6
orbital module :6
orbital drift :6
orbit ranging :6
orbit outside :6
orbit near :6
orbit halfway :6
orbit carrying :6
orbit april :6
optical properties :6
optical observations :6
operations subcommittee :6
operations facility :6
operations donald :6
operations contract :6
operational satellites :6
operational aspects :6
operating procedures :6
operate successfully :6
operate satisfactorily :6
operate properly :6
onto moon :6
onter space :6
oneyear extensions :6
oneyear costplusfixedfee :6
oneyear costplusawardfee :6
onboard rocket :6
oleg atkov :6
ogo ivs :6
ogo iii :6
ofo orbiting :6
officials testified :6
officials estimated :6
officials decided :6
official statement :6
office gao :6
october dr :6
october 1974 :6
october 1957 :6
octave chanute :6
octagonal cylinder :6
oct 1976 :6
oct 1974 :6
oct 11—22 :6
ocean buoys :6
occultation experiment :6
obtaining data :6
obtained regularly :6
observatory solar :6
observatory reported :6
observatory puerto :6
observatory orbiting :6
observatory ogo :6
observatory aoso :6
obligations totaled :6
objectives included :6
objectives appeared :6
objective unmanned :6
objective gather :6
objective further :6
objective commercial :6
objective collect :6
objective acquire :6
o x :6
o sen :6
nyt west :6
nyt oct :6
nyt nov :6
nyt 82665 :6
nyt 20 :6
nyt 19 :6
nyt 12865 :6
nyt 101763 :6
nuclear studies :6
nuclear stage :6
nuclear materials :6
nuclear force :6
nuclear devices :6
nsf report :6
nsf announced :6
nrc release :6
november 1983 :6
november 1979 :6
november 1967 :6
november 1966 :6
nov 2285 :6
nose cap :6
norwegian council :6
north sea :6
north ray :6
north eastern :6
normyle av :6
normally tass :6
nominate dr :6
noise aircraft :6
nitrogen oxide :6
nitric acid :6
ninth annual :6
ninemonth study :6
nine satellites :6
nimbus e :6
niketomahawk carried :6
nikecajun rocket :6
nighttime launch :6
nicolaus copernicus :6
newton n :6
newsreview oct :6
newsreview aug :6
newsreview apr :6
newspapers reported :6
news timesherald :6
news sept :6
news reports :6
newly installed :6
net increase :6
nelson dfla :6
nearzero gravity :6
nearly twice :6
nearly six :6
near paris :6
near moon :6
near chicago :6
near barstow :6
navy frogmen :6
navy contract :6
nations participating :6
nations conference :6
nasasponsored research :6
nasas role :6
nasas ranger :6
nasas planetary :6
nasas mission :6
nasas major :6
nasas continuing :6
nasas aeronautics :6
nasas advanced :6
nasas administrator :6
nasadod agreement :6
nasaair force :6
nasa wkly :6
nasa told :6
nasa terminated :6
nasa spokesmen :6
nasa spending :6
nasa sp4401 :6
nasa sp4302 :6
nasa sp4202 :6
nasa sp4101 :6
nasa service :6
nasa sept :6
nasa scientist :6
nasa science :6
nasa requirements :6
nasa representatives :6
nasa portion :6
nasa organization :6
nasa note :6
nasa needed :6
nasa names :6
nasa merritt :6
nasa mariner :6
nasa legislative :6
nasa found :6
nasa flew :6
nasa exhibit :6
nasa european :6
nasa efforts :6
nasa convair :6
nasa awards :6
nasa adjudged :6
named winner :6
named associate :6
naas rocketdyne :6
na tional :6
n tupolev :6
n rukavishnikov :6
n minow :6
n e :6
n constan :6
municipal airport :6
multipurpose satellite :6
multichannel telephone :6
mueller associate :6
msfcs space :6
msc gemini :6
mountain view :6
motorola inc :6
motor retrorocket :6
mosher rohio :6
moscow summit :6
moscow interview :6
morris tepper :6
moons orbit :6
moon treaty :6
moon probe :6
moon missions :6
moon mission :6
moon crater :6
months nasa :6
montgomery county :6
monmouth nj :6
monitor solar :6
molecular oxygen :6
molecular nitrogen :6
mohave desert :6
modified soyuz :6
modified f8 :6
modified apollo :6
modifications included :6
modern technology :6
mobile laboratory :6
mitre corp :6
mit scientists :6
missions included :6
mission skylab :6
mission simulators :6
mission rules :6
mission results :6
mission plan :6
mission failure :6
mission failed :6
mission dr :6
mission data :6
mission controllers :6
mission called :6
mission april :6
mission 61a :6
mission 51—f :6
missile abm :6
minuteman icbms :6
minor changes :6
minnesota experiment :6
min beginning :6
min 30 :6
million dod :6
million data :6
million costplusawardfee :6
million apiece :6
million accounting :6
military units :6
military spending :6
military spacecraft :6
military potential :6
military pilots :6
military personnel :6
military officials :6
military installations :6
military electronics :6
military control :6
military capability :6
military capabilities :6
military balance :6
military airplane :6
miles south :6
midnight local :6
midcourse maneuvers :6
midair collisions :6
microwave scanningbeam :6
micrometeoroid detection :6
micrometeoroid collection :6
microgravity research :6
michigan payload :6
michael lampton :6
mi nasa :6
mex introduced :6
meudon observatory :6
meteorological experiments :6
meeting dr :6
meet mission :6
medium altitude :6
medical services :6
medical debriefing :6
mechanically despun :6
measure lunar :6
mcmurdo station :6
mclean va :6
mckee usaf :6
mcdivitt usaf :6
mccandless ii :6
maxwell usaf :6
maximum load :6
max satellite :6
mated vertical :6
mass model :6
maser clocks :6
martinmarietta corp :6
martin mariettas :6
martian equator :6
martian environment :6
mars using :6
mars taken :6
mars aug :6
marked increase :6
mark ii :6
mariner venus :6
mariner n :6
margaret chase :6
mare tranquillitatis :6
marco launch :6
march 1973 :6
march 1966 :6
mar 282 :6
mar 19 :6
manufacturing processes :6
manufacturing employer :6
mans conquest :6
manpowered aircraft :6
manned spaceflights :6
manned satellites :6
manned military :6
manned flight—are :6
manned craft :6
manned bombers :6
manke reached :6
maneuver placed :6
manchester guardian :6
manager martin :6
management team :6
malfunction caused :6
major spacecraft :6
major significance :6
major research :6
major objectives :6
major manned :6
major launches :6
major international :6
major importance :6
major goal :6
major experiments :6
major decisions :6
major cities :6
major aerospace :6
maj virgil :6
main retrorocket :6
main purpose :6
magnetic envelope :6
magnetic coil :6
magazine article :6
mach 085 :6
m2f2 liftingbody :6
m o :6
m jr :6
m blount :6
m 48 :6
m 25 :6
m 200 :6
luncheon meeting :6
lunar scientists :6
lunar modules :6
lunar lander :6
lunar explorations :6
lunar curatorial :6
lunar core :6
lunar colonies :6
lunar atmosphere :6
luna xiv :6
luna xiii :6
lrv rover :6
lower body :6
lowenergy particles :6
low orbiting :6
low level :6
longrange space :6
longrange goals :6
longitudinal stability :6
longest space :6
longer period :6
lockheed space :6
lockheed missile :6
lockheed c—5a :6
locked onto :6
local scientific :6
lm jettison :6
living systems :6
living conditions :6
litton industries :6
little information :6
little doubt :6
liquidoxygen tank :6
liquidhydrogen engines :6
liquidfueled rocket :6
liquidfuel engines :6
lindsey nyt :6
liftoff weight :6
lifetime requirements :6
lh n :6
lg john :6
lg james :6
lewis nyt :6
lerc news :6
leonid meteor :6
leland j :6
left earth :6
lee nyt :6
lee b :6
leaving nasa :6
leading scientists :6
lead agency :6
launching facility :6
launched polaris :6
launched november :6
launched minuteman :6
launched luna :6
launched blue :6
launched atlas :6
launched 25 :6
launched 11 :6
launch sequence :6
launch schedules :6
launch record :6
launch jan :6
launch february :6
launch events :6
launch dec :6
launch abort :6
latham principal :6
lateral directional :6
late nasa :6
late march :6
late january :6
late 1972 :6
late 1965 :6
late 1964 :6
laser technology :6
largest manufacturing :6
largest known :6
largest employer :6
landuse planning :6
landsat earth :6
landsat d :6
landing vehicle :6
landing equipment :6
land resources :6
lancaster calif :6
lake erie :6
laboratory scientist :6
laboratory nasa :6
laboratory acpl :6
labor dept :6
l whipple :6
l mallick :6
l m :6
l greenstein :6
kuiper director :6
ksc officials :6
known xray :6
known whether :6
km west :6
km north :6
km east :6
km 500 :6
km 40 :6
km 250 :6
km 131 :6
km 127 :6
km 125 :6
km 1000 :6
klass av :6
kirtland afb :6
kilo perigee :6
kg 948 :6
kg 213 :6
kg 14 :6
kg 1200 :6
kg 100 :6
kept secret :6
kenneth l :6
ken hechler :6
katherine m :6
june june :6
june 78 :6
june 630 :6
june 2977 :6
june 2878 :6
june 219 :6
june 1968 :6
june 1966 :6
june 1965 :6
june 1963 :6
july launch :6
july july :6
july 78 :6
jr space :6
jr msc :6
jr james :6
jr cm :6
jpl team :6
jpl press :6
jpl nasa :6
joshua lederberg :6
joseph engle :6
jose calif :6
joint task :6
joint session :6
joint rendezvous :6
joint projects :6
join together :6
join intelsat :6
johnson transmitted :6
johnson issued :6
johnnike rocket :6
john strong :6
jet pilots :6
jet bomber :6
jerry l :6
jerome f :6
japan successfully :6
japan air :6
january 31february :6
january 1964 :6
janeiro brazil :6
jan 978 :6
jan 2585 :6
jan 1964 :6
jan 1885 :6
jammed solar :6
james p :6
james mcdivitt :6
jackson dwash :6
jack anderson :6
j william :6
j vecchietti :6
j v :6
j smith :6
j s :6
j jr :6
j harnett :6
j calio :6
ix mission :6
iwo jima :6
ivs mission :6
iva satellites :6
iva f3 :6
iv foreword :6
itos series :6
island fla :6
island alaska :6
iron content :6
ionospheric plasma :6
ionospheric irregularities :6
ionospheric d :6
ionosphere beacon :6
ionized barium :6
invited scientists :6
investigation nasa :6
interplanetary phenomena :6
interplanetary flights :6
interplanetary exploration :6
interplanetary environment :6
internationale fai :6
international weather :6
international telecommunication :6
international team :6
international participation :6
international magnetospheric :6
international laboratory :6
international inspection :6
international exchange :6
international convention :6
international collaboration :6
international basis :6
international agreement :6
internal structure :6
internal combustion :6
interim operating :6
interferometer spectrometer :6
intelsat—the international :6
intelsat ii—b :6
intelsat consortium :6
intelsat 5a :6
intelligence satellite :6
intelligence reports :6
integration office :6
integration laboratory :6
integrated test :6
integrated mission :6
instruments measured :6
instruments functioning :6
instrumented balloon :6
instrumentation included :6
instrumentation facility :6
instrument units :6
instrument performance :6
instrument panel :6
instructional television :6
instru mented :6
institution release :6
inquirer reported :6
injecting spacecraft :6
inject spacecraft :6
initial tests :6
initial evaluation :6
infrared wavelengths :6
infrared spectrum :6
infrared imagery :6
infrared cameras :6
information div :6
inflight experiments :6
inexpensive ground :6
industry spent :6
industry remained :6
industry officials :6
industries building :6
industrial technology :6
industrial consortium :6
individual launch :6
indias dept :6
indianapolis star :6
indian river :6
indian oceans :6
indian government :6
independent nonprofit :6
increased velocity :6
increased fuel :6
increase knowledge :6
including maneuvering :6
including launch :6
including fuel :6
including development :6
included solar :6
included orbiting :6
included five :6
include development :6
inch thick :6
incentive contracts :6
improve understanding :6
improve safety :6
improve reliability :6
improve aircraft :6
improve accuracy :6
impedance probe :6
impacted near :6
immediate future :6
image data :6
ilc industries :6
iit research :6
iii—b booster :6
ii scientific :6
ii passive :6
ii missile :6
ii data :6
icsc release :6
ice cap :6
ice ages :6
ice age :6
icbm exploded :6
ib vehicles :6
ib 1st :6
iaa release :6
hypersonic ramjet :6
hydrogen bombs :6
hydrogen atom :6
hydrochloric acid :6
hurricane season :6
hungary east :6
hundred feet :6
human values :6
human tissue :6
human relations :6
human performance :6
human cells :6
human activity :6
hrs 49 :6
hrs 45 :6
hrs 42 :6
hrs 37 :6
hrs 29 :6
hrs 24 :6
hr 9382 :6
hr 4700 :6
hr 17023 :6
hr 14921 :6
hr 14070 :6
hr 13998 :6
hr 12307 :6
hr 10456 :6
hours flown :6
hornig director :6
horizontal sounding :6
horizontal position :6
horizon scanners :6
holmes nasa :6
hoisted aboard :6
historical monitors :6
historical data :6
historic flight :6
hinners nasa :6
hills calif :6
highresolution spectra :6
highresolution infrared :6
highperformance aircraft :6
highly complex :6
highland material :6
highfrequency radio :6
higher capacity :6
higher altitude :6
highenergy radiation :6
highenergy protons :6
highenergy electrons :6
highaltitude aircraft :6
hermetically sealed :6
helped design :6
helicopter textron :6
helicopter co :6
hechler dw :6
heavy rains :6
heat protection :6
heat generated :6
heat buildup :6
heart beat :6
hawaiian islands :6
haven register :6
harvard university :6
harry f :6
harold s :6
harbor nigeria :6
